country,under5_mortality_2018,infant_mortality_2018,neonatal_mortality_2018,under5_mortality_2018_male,under5_mortality_2018_female
Afghanistan,62,48,37,66,59
Albania,9,8,7,9,8
Algeria,23,20,15,25,22
Andorra,3,3,1,3,3
Angola,77,52,28,83,71
Antigua and Barbuda,6,5,3,7,6
Argentina,10,9,6,11,9
Armenia,12,11,6,14,11
Australia,4,3,2,4,3
Austria,4,3,2,4,3
Azerbaijan,22,19,11,24,19
Bahamas,10,8,5,11,9
Bahrain,7,6,3,7,7
Bangladesh,30,25,17,32,28
Barbados,12,11,8,13,11
Belarus,3,3,1,4,3
Belgium,4,3,2,4,3
Belize,13,11,9,14,12
Benin,93,61,31,99,87
Bhutan,30,25,16,32,27
Bolivia (Plurinational State of),27,22,14,29,24
Bosnia and Herzegovina,6,5,4,6,5
Botswana,36,30,24,40,33
Brazil,14,13,8,16,13
Brunei Darussalam,12,10,5,12,11
Bulgaria,7,6,4,8,6
Burkina Faso,76,49,25,81,72
Burundi,58,41,22,63,54
Cabo Verde,19,17,12,21,18
Cambodia,28,24,14,31,25
Cameroon,76,51,27,81,71
Canada,5,4,3,5,5
Central African Republic,116,84,41,123,110
Chad,119,71,34,125,112
Chile,7,6,5,8,7
China,9,7,4,9,8
Colombia,14,12,8,16,13
Comoros,67,51,32,73,62
Congo,50,36,20,54,46
Cook Islands,8,7,4,9,7
Costa Rica,9,8,6,10,8
Cote d'Ivoire,81,59,34,89,73
Croatia,5,4,3,5,4
Cuba,5,4,2,5,4
Cyprus,2,2,1,3,2
Czechia,3,3,2,4,3
Democratic People's Republic of Korea,18,14,10,20,16
Democratic Republic of the Congo,88,68,28,95,81
Denmark,4,4,3,5,4
Djibouti,59,50,32,64,54
Dominica,36,33,28,38,33
Dominican Republic,29,24,19,32,26
Ecuador,14,12,7,16,13
Egypt,21,18,11,22,20
El Salvador,14,12,7,15,12
Equatorial Guinea,85,63,30,91,79
Eritrea,42,31,18,47,36
Estonia,3,2,1,3,2
Eswatini,54,43,17,59,49
Ethiopia,55,39,28,61,49
Fiji,26,22,11,28,23
Finland,2,1,1,2,2
France,4,3,3,4,4
Gabon,45,33,21,49,40
Gambia,58,39,26,63,54
Georgia,10,9,6,11,9
Germany,4,3,2,4,3
Ghana,48,35,24,52,43
Greece,4,4,3,5,4
Grenada,15,14,10,17,14
Guatemala,26,22,12,29,23
Guinea,101,65,31,105,96
Guinea-Bissau,81,54,37,88,75
Guyana,30,25,18,34,26
Haiti,65,49,26,70,59
Honduras,18,15,10,19,16
Hungary,4,4,2,5,4
Iceland,2,2,1,2,2
India,37,30,23,36,37
Indonesia,25,21,13,28,22
Iran (Islamic Republic of),14,12,9,15,14
Iraq,27,22,15,29,24
Ireland,4,3,2,4,3
Israel,4,3,2,4,3
Italy,3,3,2,3,3
Jamaica,14,12,10,16,13
Japan,2,2,1,3,2
Jordan,16,14,9,18,15
Kazakhstan,10,9,6,11,9
Kenya,41,31,20,45,37
Kiribati,53,41,23,57,48
Kuwait,8,7,4,9,7
Kyrgyzstan,19,17,13,21,17
Lao People's Democratic Republic,47,38,23,52,42
Latvia,4,3,2,4,4
Lebanon,7,6,4,8,7
Lesotho,81,66,35,88,74
Liberia,71,53,24,76,65
Libya,12,10,6,13,11
Lithuania,4,3,2,4,4
Luxembourg,2,2,1,3,2
Madagascar,54,38,21,58,49
Malawi,50,35,22,54,45
Malaysia,8,7,4,8,7
Maldives,9,7,5,9,8
Mali,98,62,33,103,92
Malta,7,6,5,8,6
Marshall Islands,33,27,15,37,29
Mauritania,76,52,33,81,70
Mauritius,16,14,9,17,14
Mexico,13,11,8,14,11
Micronesia (Federated States of),31,26,16,34,27
Monaco,3,3,2,4,3
Mongolia,16,14,9,19,13
Montenegro,3,2,2,3,2
Morocco,22,19,14,25,20
Mozambique,73,54,28,78,68
Myanmar,46,37,23,51,42
Namibia,40,29,16,43,36
Nauru,32,26,20,35,29
Nepal,32,27,20,34,30
Netherlands,4,3,2,4,3
