age,weight_kg,height_cm,sex,waist_cm,hip_cm,chest_cm
21,65.6,174.0,male,71.5,93.5,89.5
23,71.8,175.3,male,79.0,94.8,97.0
28,80.7,193.5,male,83.2,95.0,97.5
23,72.6,186.5,male,77.8,94.0,97.0
22,78.8,187.2,male,80.0,98.5,97.5
21,74.8,181.5,male,82.5,95.3,99.9
26,86.4,184.0,male,82.0,101.0,106.9
27,78.4,184.5,male,76.8,98.0,102.5
23,62.0,175.0,male,68.5,89.5,91.0
21,81.6,184.0,male,77.5,99.8,93.5
23,76.6,180.0,male,81.9,98.4,97.7
22,83.6,177.8,male,82.6,95.0,99.5
20,90.0,192.0,male,85.0,103.0,103.0
26,74.6,176.0,male,85.6,98.0,99.6
23,71.0,174.0,male,78.0,95.0,101.5
22,79.6,184.0,male,82.0,97.0,104.1
30,93.8,192.7,male,88.3,105.0,100.0
22,70.0,171.5,male,73.6,90.1,93.8
29,72.4,173.0,male,78.5,94.5,98.5
22,85.9,176.0,male,87.3,101.1,104.0
22,78.8,176.0,male,92.0,98.0,100.0
20,77.8,180.5,male,80.0,99.5,100.0
22,66.2,172.7,male,74.5,92.2,99.0
24,86.4,176.0,male,90.6,101.2,101.0
26,81.8,173.5,male,81.4,98.8,101.6
24,89.6,178.0,male,89.5,106.0,108.8
21,82.8,180.3,male,85.0,105.0,100.0
24,76.4,180.3,male,73.5,97.0,88.0
23,63.2,164.5,male,75.8,89.0,88.7
19,60.9,173.0,male,74.0,93.5,84.5
23,74.8,183.5,male,77.5,95.0,93.6
25,70.0,175.5,male,74.0,90.0,105.0
23,72.4,188.0,male,74.0,96.4,90.9
23,84.1,189.2,male,82.0,100.0,91.2
23,69.1,172.8,male,73.0,95.4,98.4
20,59.5,170.0,male,70.5,90.0,85.0
22,67.2,182.0,male,75.0,91.3,97.2
24,61.3,170.0,male,72.1,91.0,91.5
22,68.6,177.8,male,78.8,93.2,91.2
24,80.1,184.2,male,77.5,97.0,101.1
21,87.8,186.7,male,91.5,103.9,104.3
23,84.7,171.4,male,84.9,102.6,110.8
24,73.4,172.7,male,79.1,97.1,96.3
35,72.1,175.3,male,77.9,90.7,102.7
29,82.6,180.3,male,91.7,101.8,103.9
25,88.7,182.9,male,86.6,103.9,105.6
23,84.1,188.0,male,84.7,101.4,95.8
20,94.1,177.2,male,90.3,108.7,111.2
25,74.9,172.1,male,79.7,98.4,100.0
29,59.1,167.0,male,73.1,86.5,91.6
23,75.6,169.5,male,79.8,94.8,108.0
23,86.2,174.0,male,81.6,100.9,109.6
36,75.3,172.7,male,76.8,98.0,105.7
25,87.1,182.2,male,85.9,100.9,109.1
24,55.2,164.1,male,73.3,85.7,88.8
20,57.0,163.0,male,69.9,84.1,86.1
52,61.4,171.5,male,72.7,91.4,91.3
50,76.8,184.2,male,82.7,98.0,100.6
46,86.8,174.0,male,90.1,104.5,105.5
51,72.2,174.0,male,82.9,95.8,97.5
28,71.6,177.0,male,77.9,91.7,94.4
48,84.8,186.0,male,92.5,103.4,99.6
35,68.2,167.0,male,77.8,90.0,98.1
23,66.1,171.8,male,72.7,91.7,93.6
23,72.0,182.0,male,75.0,94.0,93.4
62,64.6,167.0,male,76.0,93.0,92.0
21,74.8,177.8,male,82.7,93.0,99.2
26,70.0,164.5,male,80.0,97.4,97.6
33,101.6,192.0,male,107.1,108.3,108.8
36,63.2,175.5,male,76.2,90.0,91.9
41,79.1,171.2,male,90.2,100.2,105.2
40,78.9,181.6,male,89.4,97.7,98.3
27,67.7,167.4,male,80.9,96.0,92.5
27,66.0,181.1,male,73.5,92.0,92.5
23,68.2,177.0,male,70.9,95.3,101.6
31,63.9,174.5,male,76.1,86.3,94.6
26,72.0,177.5,male,81.0,92.5,92.5
23,56.8,170.5,male,72.0,85.5,88.2
24,74.5,182.4,male,76.8,94.5,91.0
24,90.9,197.1,male,86.0,103.0,106.0
34,93.0,180.1,male,98.5,116.5,115.0
21,80.9,175.5,male,79.0,98.5,100.0
25,72.7,180.6,male,77.5,92.0,94.7
34,68.0,184.4,male,75.2,91.6,92.5
31,70.9,175.5,male,82.0,92.7,96.7
40,72.5,180.6,male,79.6,95.0,97.4
21,72.5,177.0,male,75.2,94.5,106.7
33,83.4,177.1,male,88.6,100.5,106.2
25,75.5,181.6,male,81.5,91.8,103.6
29,73.0,176.5,male,79.9,87.5,98.3
27,70.2,175.0,male,73.5,94.9,87.8
44,73.4,174.0,male,80.3,93.0,99.8
26,70.5,165.1,male,81.5,92.0,104.6
22,68.9,177.0,male,74.0,91.3,86.5
37,102.3,192.0,male,104.0,111.7,110.0
38,68.4,176.5,male,76.2,92.8,93.2
20,65.9,169.4,male,76.5,91.2,90.0
21,75.7,182.1,male,81.0,96.2,98.4
24,84.5,179.8,male,88.8,100.0,107.2
45,87.7,175.3,male,94.0,108.2,108.3
25,86.4,184.9,male,83.4,101.1,105.7
22,73.2,177.3,male,77.0,93.0,88.5
29,53.9,167.4,male,75.4,88.6,79.3
37,72.0,178.1,male,80.3,92.8,90.9
