hrsrelax,mntlhlth,hrs1,degree,grass
2.0,3.0,55.0,BACHELOR,
4.0,6.0,45.0,BACHELOR,LEGAL
,,,LT HIGH SCHOOL,
,,,LT HIGH SCHOOL,NOT LEGAL
,,,LT HIGH SCHOOL,NOT LEGAL
,,,LT HIGH SCHOOL,LEGAL
3.0,0.0,45.0,JUNIOR COLLEGE,
,,,JUNIOR COLLEGE,
0.0,0.0,40.0,HIGH SCHOOL,NOT LEGAL
5.0,10.0,48.0,HIGH SCHOOL,
5.0,0.0,26.0,JUNIOR COLLEGE,
,,,HIGH SCHOOL,
3.0,0.0,40.0,HIGH SCHOOL,
,,,HIGH SCHOOL,
,,,LT HIGH SCHOOL,LEGAL
,,,LT HIGH SCHOOL,
,,,JUNIOR COLLEGE,
,,,LT HIGH SCHOOL,NOT LEGAL
,,,HIGH SCHOOL,NOT LEGAL
2.0,5.0,50.0,BACHELOR,NOT LEGAL
5.0,0.0,40.0,HIGH SCHOOL,NOT LEGAL
10.0,0.0,25.0,HIGH SCHOOL,
,,,LT HIGH SCHOOL,
,,,LT HIGH SCHOOL,NOT LEGAL
0.0,0.0,20.0,GRADUATE,
2.0,15.0,89.0,BACHELOR,NOT LEGAL
,,,HIGH SCHOOL,
3.0,30.0,25.0,JUNIOR COLLEGE,LEGAL
1.0,10.0,40.0,BACHELOR,
4.0,0.0,20.0,BACHELOR,LEGAL
6.0,0.0,20.0,GRADUATE,LEGAL
,,,GRADUATE,LEGAL
,,,JUNIOR COLLEGE,
,,,BACHELOR,
6.0,0.0,60.0,HIGH SCHOOL,
5.0,0.0,40.0,GRADUATE,LEGAL
,0.0,3.0,BACHELOR,LEGAL
4.0,0.0,40.0,GRADUATE,
,,,HIGH SCHOOL,LEGAL
,,,GRADUATE,
3.0,5.0,40.0,BACHELOR,LEGAL
3.0,5.0,35.0,GRADUATE,LEGAL
4.0,0.0,24.0,HIGH SCHOOL,
3.0,0.0,60.0,GRADUATE,LEGAL
,,34.0,GRADUATE,
,,,HIGH SCHOOL,
2.0,10.0,40.0,HIGH SCHOOL,LEGAL
,,,HIGH SCHOOL,NOT LEGAL
5.0,0.0,50.0,HIGH SCHOOL,LEGAL
2.0,0.0,50.0,HIGH SCHOOL,
0.0,0.0,32.0,BACHELOR,LEGAL
,,,HIGH SCHOOL,LEGAL
2.0,,40.0,BACHELOR,LEGAL
,,,BACHELOR,
,,,GRADUATE,NOT LEGAL
,,,BACHELOR,LEGAL
2.0,15.0,46.0,LT HIGH SCHOOL,NOT LEGAL
2.0,0.0,36.0,BACHELOR,NOT LEGAL
4.0,0.0,30.0,HIGH SCHOOL,NOT LEGAL
6.0,5.0,40.0,BACHELOR,
3.0,0.0,40.0,BACHELOR,NOT LEGAL
3.0,0.0,36.0,JUNIOR COLLEGE,NOT LEGAL
,,,LT HIGH SCHOOL,NOT LEGAL
,,,HIGH SCHOOL,NOT LEGAL
4.0,1.0,40.0,BACHELOR,
3.0,0.0,40.0,BACHELOR,NOT LEGAL
,,,HIGH SCHOOL,LEGAL
,,,HIGH SCHOOL,NOT LEGAL
,,,HIGH SCHOOL,NOT LEGAL
,,,HIGH SCHOOL,LEGAL
2.0,0.0,48.0,HIGH SCHOOL,LEGAL
6.0,3.0,35.0,GRADUATE,LEGAL
,,,LT HIGH SCHOOL,NOT LEGAL
3.0,0.0,50.0,JUNIOR COLLEGE,
5.0,0.0,20.0,JUNIOR COLLEGE,LEGAL
2.0,20.0,50.0,BACHELOR,
,,,HIGH SCHOOL,
1.0,4.0,68.0,HIGH SCHOOL,
8.0,30.0,50.0,JUNIOR COLLEGE,LEGAL
,,,HIGH SCHOOL,NOT LEGAL
2.0,3.0,40.0,GRADUATE,
8.0,0.0,35.0,HIGH SCHOOL,NOT LEGAL
1.0,0.0,20.0,JUNIOR COLLEGE,LEGAL
3.0,3.0,9.0,HIGH SCHOOL,
,,,HIGH SCHOOL,
4.0,0.0,40.0,BACHELOR,NOT LEGAL
4.0,0.0,52.0,BACHELOR,
2.0,15.0,35.0,HIGH SCHOOL,NOT LEGAL
2.0,5.0,40.0,HIGH SCHOOL,
,,,LT HIGH SCHOOL,LEGAL
2.0,0.0,30.0,LT HIGH SCHOOL,NOT LEGAL
2.0,0.0,41.0,BACHELOR,
0.0,0.0,40.0,BACHELOR,
4.0,0.0,35.0,LT HIGH SCHOOL,NOT LEGAL
1.0,4.0,38.0,JUNIOR COLLEGE,
,,,LT HIGH SCHOOL,NOT LEGAL
2.0,,70.0,BACHELOR,NOT LEGAL
2.0,0.0,35.0,HIGH SCHOOL,
,0.0,48.0,HIGH SCHOOL,
4.0,0.0,9.0,GRADUATE,NOT LEGAL
,,,BACHELOR,NOT LEGAL
2.0,0.0,32.0,HIGH SCHOOL,
2.0,,35.0,HIGH SCHOOL,NOT LEGAL
3.0,0.0,50.0,HIGH SCHOOL,
2.0,0.0,65.0,BACHELOR,NOT LEGAL
,,,HIGH SCHOOL,
8.0,30.0,7.0,GRADUATE,
4.0,0.0,24.0,BACHELOR,
3.0,0.0,60.0,BACHELOR,
2.0,3.0,40.0,GRADUATE,
,,,LT HIGH SCHOOL,LEGAL
,,,BACHELOR,NOT LEGAL
4.0,30.0,40.0,GRADUATE,
2.0,0.0,30.0,HIGH SCHOOL,
3.0,1.0,50.0,GRADUATE,NOT LEGAL
,,,BACHELOR,
4.0,0.0,40.0,BACHELOR,NOT LEGAL
4.0,0.0,24.0,HIGH SCHOOL,LEGAL
