age,gender,grade,height,weight,physically_active_7d,strength_training_7d,school_night_hours_sleep
14.0,female,9,,,4.0,0.0,8
14.0,female,9,,,2.0,0.0,6
15.0,female,9,1.73,84.37,7.0,0.0,<5
15.0,female,9,1.6,55.79,0.0,0.0,6
15.0,female,9,1.5,46.72,2.0,1.0,9
15.0,female,9,1.57,67.13,1.0,0.0,8
15.0,female,9,1.65,131.54,4.0,2.0,9
14.0,male,9,1.88,71.22,4.0,0.0,6
15.0,male,9,1.75,63.5,5.0,3.0,<5
15.0,male,10,1.37,97.07,0.0,0.0,<5
15.0,female,9,1.68,69.85,0.0,3.0,10+
15.0,female,9,1.65,66.68,0.0,0.0,6
15.0,female,9,1.63,67.13,4.0,0.0,7
16.0,male,9,1.68,74.84,7.0,7.0,8
16.0,male,9,1.85,74.39,7.0,7.0,6
15.0,male,9,1.78,70.31,7.0,7.0,9
14.0,male,9,1.73,73.48,4.0,3.0,6
15.0,male,9,1.83,67.59,7.0,7.0,8
14.0,male,9,1.68,46.27,7.0,2.0,6
16.0,male,9,1.83,73.48,0.0,3.0,5
16.0,female,10,1.55,52.16,2.0,1.0,9
15.0,female,10,1.52,79.83,4.0,3.0,8
15.0,female,10,,,2.0,0.0,7
15.0,female,10,1.5,56.25,4.0,0.0,5
16.0,female,10,1.6,61.24,7.0,5.0,8
,female,10,,,7.0,7.0,8
16.0,female,10,1.42,40.82,7.0,4.0,8
16.0,female,10,,,0.0,0.0,7
15.0,female,10,1.45,83.92,3.0,1.0,
16.0,male,10,1.73,131.54,,,
16.0,male,10,1.65,70.76,7.0,5.0,6
16.0,male,10,1.75,72.58,7.0,5.0,5
15.0,male,10,1.85,66.23,5.0,4.0,9
16.0,male,10,1.75,63.5,,,
16.0,male,10,1.78,126.1,1.0,0.0,8
15.0,male,10,1.73,68.04,2.0,5.0,7
,male,10,,,5.0,2.0,6
,male,10,,,2.0,1.0,6
18.0,female,12,1.5,73.48,3.0,0.0,8
18.0,female,12,1.57,73.48,4.0,4.0,7
18.0,female,12,1.7,62.6,6.0,7.0,8
17.0,female,12,1.7,77.11,5.0,0.0,7
17.0,female,12,1.68,61.69,1.0,1.0,7
18.0,male,12,,,,,
18.0,male,12,1.83,73.94,4.0,1.0,6
18.0,male,12,1.8,106.6,0.0,0.0,10+
18.0,male,12,1.68,65.77,4.0,0.0,<5
18.0,male,12,1.73,77.11,3.0,3.0,6
18.0,female,11,1.85,87.09,5.0,2.0,7
12.0,female,9,1.8,90.72,0.0,0.0,<5
18.0,female,11,,,0.0,5.0,10+
17.0,female,11,1.68,54.43,2.0,2.0,7
16.0,female,11,1.57,69.85,0.0,0.0,7
17.0,male,11,1.78,96.16,7.0,7.0,6
17.0,male,11,1.68,59.88,1.0,0.0,6
18.0,male,11,,,0.0,0.0,8
17.0,male,11,1.83,68.95,7.0,5.0,6
17.0,male,11,1.73,78.93,5.0,0.0,8
18.0,male,11,,,7.0,7.0,8
17.0,male,11,1.8,66.68,4.0,4.0,6
18.0,male,11,1.8,63.5,0.0,0.0,7
17.0,male,11,,,1.0,5.0,<5
17.0,male,11,1.75,92.08,7.0,7.0,9
17.0,male,11,1.78,61.24,1.0,0.0,8
17.0,male,11,1.83,72.58,7.0,3.0,8
18.0,male,11,1.9,129.28,0.0,5.0,9
17.0,male,11,1.7,63.5,0.0,0.0,5
16.0,male,11,1.8,67.13,7.0,7.0,5
17.0,male,11,,,5.0,4.0,7
17.0,male,11,1.78,54.43,1.0,0.0,7
17.0,male,11,1.83,68.04,5.0,5.0,7
16.0,male,11,1.7,58.97,7.0,5.0,5
16.0,male,11,1.7,68.04,2.0,3.0,8
18.0,male,11,1.63,54.89,1.0,0.0,10+
16.0,male,11,1.73,74.39,2.0,2.0,5
17.0,male,11,1.9,79.38,0.0,3.0,9
17.0,male,11,1.73,61.24,0.0,0.0,6
17.0,male,11,1.78,129.28,3.0,3.0,6
17.0,female,11,1.65,62.6,2.0,7.0,10+
17.0,female,11,1.6,42.18,7.0,7.0,8
16.0,female,11,1.6,73.48,0.0,0.0,6
17.0,female,11,,,2.0,1.0,5
17.0,female,11,1.68,64.86,2.0,2.0,8
17.0,female,11,,,4.0,2.0,<5
17.0,female,11,1.68,86.18,0.0,0.0,8
17.0,female,11,,,0.0,0.0,6
17.0,female,10,1.65,61.24,2.0,1.0,10+
16.0,female,11,1.6,68.04,0.0,0.0,5
17.0,female,11,1.52,72.58,3.0,3.0,8
18.0,male,12,1.73,67.13,4.0,3.0,7
12.0,male,12,,,7.0,7.0,10+
18.0,male,12,1.88,77.11,0.0,0.0,5
17.0,male,12,1.83,69.85,5.0,6.0,7
18.0,male,12,1.85,89.36,0.0,0.0,<5
18.0,male,12,1.88,86.18,7.0,7.0,7
18.0,male,12,1.83,64.41,7.0,7.0,8
18.0,male,12,1.75,72.58,0.0,0.0,5
17.0,male,12,1.8,83.92,3.0,4.0,6
18.0,male,12,1.78,100.25,4.0,7.0,6
17.0,male,12,1.63,65.77,7.0,0.0,6
18.0,male,12,1.65,72.58,2.0,5.0,<5
17.0,male,12,1.68,94.35,0.0,0.0,<5
18.0,female,12,1.7,63.5,,,
17.0,female,12,1.63,54.89,5.0,4.0,6
18.0,female,12,1.75,107.05,0.0,1.0,6
18.0,female,12,1.68,72.58,4.0,6.0,8
18.0,female,12,1.65,49.9,2.0,0.0,9
17.0,female,12,1.65,60.33,6.0,0.0,5
18.0,female,12,1.63,88.45,6.0,0.0,7
18.0,female,12,1.6,54.43,1.0,1.0,6
17.0,female,12,1.63,74.84,0.0,5.0,7
17.0,male,12,1.78,86.18,0.0,3.0,6
17.0,male,12,1.93,92.53,7.0,5.0,8
