kids,education,ethnicity,city16,lowincome16,immigrant
0,14,cauc,no,no,no
1,13,cauc,yes,no,no
1,2,cauc,no,no,yes
2,16,cauc,no,no,no
2,12,cauc,yes,no,no
0,13,other,yes,no,no
0,12,cauc,no,no,no
0,12,other,no,no,yes
1,12,cauc,yes,no,yes
3,12,cauc,yes,no,no
6,13,other,yes,no,no
2,16,other,yes,no,no
2,12,cauc,no,no,no
4,14,cauc,yes,no,no
0,17,other,yes,no,no
1,12,other,yes,yes,yes
0,9,cauc,no,no,yes
1,14,other,no,yes,no
0,16,cauc,no,yes,no
0,14,cauc,yes,no,no
0,20,cauc,no,yes,no
0,16,cauc,yes,no,no
1,10,other,no,no,yes
2,17,cauc,yes,no,no
3,14,other,no,yes,no
3,13,cauc,yes,no,no
3,12,cauc,no,no,no
3,12,cauc,yes,no,no
4,12,cauc,yes,no,no
0,17,cauc,yes,yes,no
2,13,cauc,yes,no,yes
2,16,cauc,yes,no,no
4,12,cauc,yes,no,no
3,14,other,yes,no,no
2,14,cauc,yes,no,no
3,19,cauc,no,yes,no
3,12,cauc,no,no,no
4,11,other,yes,yes,no
8,5,other,no,no,no
1,9,other,yes,no,no
1,13,other,yes,no,no
0,11,other,no,no,no
0,11,other,no,no,no
1,15,other,yes,no,no
2,13,cauc,yes,no,no
1,14,cauc,yes,no,no
2,13,cauc,no,no,yes
3,12,cauc,yes,no,no
0,18,cauc,no,no,no
0,14,cauc,yes,no,no
0,12,cauc,yes,no,no
1,12,cauc,no,no,no
0,15,cauc,yes,yes,no
3,16,cauc,yes,yes,yes
3,17,cauc,yes,no,no
0,12,cauc,yes,no,no
2,16,cauc,yes,no,yes
2,13,cauc,yes,no,no
1,13,cauc,yes,no,yes
4,13,other,yes,no,no
0,17,cauc,no,no,no
3,12,other,yes,yes,no
2,11,other,yes,no,yes
3,11,other,yes,no,no
1,12,cauc,yes,no,no
2,15,other,no,no,no
1,12,other,yes,no,no
5,12,other,yes,no,no
1,12,other,no,no,no
0,11,cauc,yes,no,yes
1,11,cauc,yes,no,no
